source_id,source_url,item_title,content_summary,content_type_candidate,target_segment,conversion_potential_25,retention_potential_15,brand_fit_20,compliance_safety_20,production_effort_10,repurposing_value_10,total_score_100,priority_tier,compliance_notes,recommended_offer,publish_window,status
TT-SRC-001,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipOc_NjNJS6ek3PP0483o-LMfZN4wMHmTSGURkph?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 11:57:21 AM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-002,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipNkFqOr23CZqL-dkvsqua5LEi0piAujG0bwJNq7?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 11:57:32 AM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-003,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipNbdTBZhx-cL_5ECmsJAS24wLs2mc8RaOu5AfY6?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 11:57:37 AM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-004,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipMdR93YpXPyT5BLsR47rJwxp2CkucVbEvU_VnE-?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 11:58:15 AM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-005,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipM8Sa3-0fLcZ7GC9SVz3T0Y-XvfiIW1GmN-PVWf?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 11:58:40 AM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-006,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipNBuntWCYDf-iuTe0AOlY5ZXMKQ_rD0p028OU1I?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:00:43 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-007,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipPAXbcaAjqYlNj2H0uRDT7KR5BwjeRQRUM-SSOL?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:00:51 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-008,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipNOFttujbF7DfiQdD-I1s4rYKHRTP44uY4CaPnV?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:00 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-009,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipM8jY4SMStpqItwseEzZGCKzbt0wxxNERNft5e7?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:05 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-010,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipNabKRI-nOo9p9IvVKFFkcujP5guihlaKVGdWnH?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:09 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-011,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipPTov34y9Tghz-WJdvL3SBVlNbJwlJKmQphWjjl?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:14 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-012,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipOX7zIeEfRZKsitejZYTUpd8nlwSYfL9bYzd3VE?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:18 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-013,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipPAlWl32QwwOK2ou6xuSIw6VM9Uilvn5aioO94I?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:23 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-014,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipNO4R3H_-Un9Avc4BGQ2UdaxWVcTMcGbifIyn-t?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:44 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-015,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipOi3pOn9Aksxw5p9_5k62JvzUjIVbOOq7E2caY_?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:01:48 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-016,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipNHFUfSgTitDixtz_ZoVudkQgPt1rG7AVdNEm9g?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:02:33 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-017,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipO227zXVrZTNQcHBkPPHY--MOdmwwYLisme4yJ4?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:02:44 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-018,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipPEfAJEP_xiLof3lbHsPsoPlm26hB5p5uclZ9dI?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:02:57 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-019,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipORA6WT_L3ajTwH3WleeHvj01SyKYJNSPhU61H-?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:03:06 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-020,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipPSDjfbzvUvWJTDDX9B8pDSxHTBlBvVSj2cMt5Z?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 24, 2026, 12:04:05 PM","Batch A (Feb 24) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-021,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipOyrR6Bcx3TIT726TYXHtFIko1o3q_vs9X9Ogvq?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Landscape - Feb 28, 2026, 9:53:47 AM","Batch B (Feb 28) Landscape frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
TT-SRC-022,"https://photos.google.com/share/AF1QipMhHUKHQ1vXkJyqahiBvYhuiNOMnnmQYjSWLhIL1qpZFQMaWRCxdaiDh-B8r4SjVA/photo/AF1QipPQyyqlrQj5EBszhNGZCkH5KrhfOgNQuREQVwRC?key=Y21xWlUxaGQ1aVVGRnhyblFPMFRHVDZLbk56S2NR","Photo - Portrait - Feb 28, 2026, 9:57:10 AM","Batch B (Feb 28) Portrait frame from Toxic Terrah album","Teaser/PPV candidate","New + Active Fans",,,,,,,,,,"Teaser to PPV ladder",,Backlog
